代码,名称,实际控制人,控制人类型,控制人简介,证监会行业,Wind行业
300235.SZ,方直科技,黄元忠,个人,"黄元忠先生,1964年生，中国国籍，硕士研究生，无境外永久居留权，毕业于华中科技大学计算机系，曾任中国长城计算机集团深圳昆仑公司副经理。黄元忠先生是本公司创始人之一，自1993年深圳市方直科技有限公司成立以来，长期担任执行董事、总经理、董事长等职务，全面负责公司的运营管理和研发工作，系公司技术骨干。深圳市科技专家委员会成员，深圳市南山区科技专家，现任本公司董事长兼总经理。",CSRC软件和信息技术服务业,Wind软件与服务
300236.SZ,上海新阳,孙江燕,个人,孙江燕女士，汉族，中国国籍，持有新加坡永久居留权，1957年6月出生，大学本科学历。1999年7月至今任上海新阳电子化学有限公司副董事长、总工程师；2004年5月至2015年11月任本公司副董事长、总工程师。现任本公司副董事长。,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
300236.SZ,上海新阳,王福祥,个人,王福祥先生，汉族，中国国籍，持有新加坡永久居留权，1956年8月出生，大学本科学历。1999年7月至今任上海新阳电子化学有限公司董事长；2004年5月至2012年4月任本公司董事长、总经理。现任本公司董事长。,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
300237.SZ,美晨科技,张磊,个人,张磊：2004年至今任山东美晨科技股份有限公司董事长;2009年至今任西藏富美投资有限公司执行董事;2011年至今任西安中沃汽车部件有限公司执行董事;2011年至今任北京福田产业控股集团股份有限公司董事;2012年至今任山东津美生物科技有限公司董事长;2013年至今任智慧地球生态开发有限公司执行董事、经理,CSRC土木工程建筑业,Wind汽车与汽车零部件
300237.SZ,美晨科技,李晓楠,个人,"李晓楠,女,1978年3月出生,山东省诸城市人,大学专科学历",CSRC土木工程建筑业,Wind汽车与汽车零部件
300238.SZ,冠昊生物,朱卫平,个人,朱卫平先生：男，1961年3月出生，中国国籍，拥有美国永久居住权，朱卫平先生最近五年均任职于本公司，担任公司董事长。,CSRC专用设备制造业,Wind制药、生物科技与生命科学
300238.SZ,冠昊生物,徐国风,个人,徐国风先生：男，1935年3月出生，中国国籍，拥有美国永久居住权，徐国风先生最近五年均任职于本公司，担任公司副董事长、首席技术官。,CSRC专用设备制造业,Wind制药、生物科技与生命科学
300239.SZ,东宝生物,王军,个人,王军先生，1951年5月出生，中国国籍，无永久境外居留权。北京大学高层经理工商管理高级研修班结业，高级经济师。内蒙古自治区九届、十届、十一届人民代表大会代表，被评选为“全国乡镇企业家”，“内蒙古自治区优秀中国特色社会主义建设者”。现任本公司董事长，兼任中国日用化工协会副理事长、中国日用化工协会明胶分会副理事长、包头东宝实业（集团）有限公司执行董事、东宝圆素（北京）科贸有限责任公司董事长。,CSRC医药制造业,Wind制药、生物科技与生命科学
300240.SZ,飞力达,姚勤,个人,姚勤先生：中国国籍，无境外永久居留权。2008年6月至今担任本公司董事、总裁，任期：2014年5月~2017年5月。未受过证券监管机构的处罚。,CSRC仓储业,Wind运输
300240.SZ,飞力达,沈黎明,个人,沈黎明先生：中国国籍，无境外永久居留权。2008年6月至今担任本公司董事长，任期：2014年5月~2017年5月。未受过证券监管机构的处罚。,CSRC仓储业,Wind运输
300240.SZ,飞力达,吴有毅,个人,吴有毅先生：中国国籍，无境外永久居留权。2008年6月至今担任本公司副董事长，任期：2014年5月~2017年5月。未受过证券监管机构的处罚。,CSRC仓储业,Wind运输
300241.SZ,瑞丰光电,龚伟斌,个人,"龚伟斌，男，身份证号码：3301131970012XXXXX，住所：广东省深圳市南山区，中国国籍，无永久境外居留权。现任本公司董事长、总经理。持有本公司股份4,202.4364万股，占本次公开发行前总股本的52.54%。",CSRC计算机、通信和其他电子设备制造业,Wind半导体与半导体生产设备
300242.SZ,明家联合,周建林,个人,"周建林,男,汉族,1971年9月出生.1991年参加工作,先后在宏达电子厂,东莞市东大电业有限公司工作,2002年起在明家有限工作,先后任公司监事,执行董事兼总经理,董事长兼总经理,现任公司董事长.",CSRC互联网和相关服务,Wind媒体Ⅱ
300243.SZ,瑞丰高材,周仕斌,个人,周仕斌：男，汉族，中国国籍，无境外永久居留权，1962年3月出生，中共党员，大专学历，高级经济师。2001年10月至2009年8月任沂源瑞丰高分子材料有限公司（以下简称“高分子有限”）董事长、法定代表人；2009年9月至今任公司董事长、法定代表人。2012年9月28日至今，兼任临沂瑞丰高分子材料有限公司法定代表人。周仕斌未受任何证券监管机构的处罚。,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
300244.SZ,迪安诊断,陈海斌,个人,陈海斌先生，1969年出生，中国国籍，无境外永久居留权，本科学历。2001年9月创办了杭州迪安医疗控股有限公司，任董事长兼总经理；2010年5月至今任本公司董事长兼总经理，2014年12月起兼任杭州迪安控股有限公司董事长。,CSRC卫生,Wind医疗保健设备与服务
300245.SZ,天玑科技,陆文雄,个人,陆文雄先生，男，中国国籍，拥有新西兰无限期永久居民签证，1967年6月出生，大学本科学历。现任公司董事长。1989年上海交通大学无线电技术专业毕业；1989年至1996年，在上海贝尔电话设备制造有限公司移动部担任全国营销总监；1997年至2001年，在中国惠普有限公司担任电信行业销售副总经理；2001年，天玑科技设立时为其创始人之一，2003年至今为天玑科技控股股东、实际控制人，并担任法定代表人。2009年6月17日起至今任公司第一、二、三届董事会董事长。,CSRC软件和信息技术服务业,Wind软件与服务
300246.SZ,宝莱特,燕金元,个人,燕金元，董事，男，1963年生，中国国籍，无境外永久居留权，硕士学历，高级工程师，西安交通大学副教授。其主持、设计的产品曾获得国家科学技术委员会国家发明三等奖、国家教委科技进步二等奖、广东省医药科技进步二等奖、广东省优秀产品奖、珠海市科技进步一等奖和三等奖。1993年参与创建宝莱特电子，现任本公司董事长、总经理，全资子公司天津宝莱特董事长，全资子公司南昌宝莱特董事长，全资子公司微康科技执行董事。,CSRC专用设备制造业,Wind医疗保健设备与服务
300246.SZ,宝莱特,王石,个人,"王石,中国国籍,无永久境外居留权,身份证号码36010219621125****,住所为广东省深圳市南山区爱榕园****.",CSRC专用设备制造业,Wind医疗保健设备与服务
300247.SZ,乐金健康,金道明,个人,"金道明先生,1965年出生,中国国籍,无境外居留权,大专学历.现任公司董事长,总经理.",CSRC电气机械及器材制造业,Wind耐用消费品与服装
300247.SZ,乐金健康,马绍琴,个人,"马绍琴女士,1966年出生,中国国籍,无境外居留权,大专学历.现任公司董事,副总经理.",CSRC电气机械及器材制造业,Wind耐用消费品与服装
300248.SZ,新开普,杨维国,个人,"杨维国先生,中国国籍,无境外永久居留权,1964年11月出生,本科学历,中级工程师,高级经济师,河南省软件行业协会常务理事,河南省工商业联合会常委.1985年毕业于郑州工学院电机系,获工学学士学位;1994年毕业于西安交通大学,获法学学士学位.1985年至1994年,在郑州工学院(1996年更名为郑州工业大学,2000年与原郑州大学,河南医科大学合并组建新郑州大学)计算机与自动化系政治辅导员,兼课教师,历任校团委干事,分团委书记,计算机与自动化系主任助理;1994年至2000年,任郑州工学院科技开发公司副总经理,兼任郑州工学院开普电子技术公司(成立于1992年,系郑州工学院校办企业,1996年更名为郑州工业大学开普电子技术公司,已于2001年2月注销)总经理;2000年至今在公司工作,现任本公司董事长兼总经理.",CSRC软件和信息技术服务业,Wind软件与服务
300249.SZ,依米康,孙屹峥,个人,孙屹峥先生自2009年8月31日起连任本公司董事长，公司于2015年8月31日进行董事会换届选举，孙屹峥连任董事长，任期为2015年8月31日至2018年8月31日；并担任公司控股公司深圳龙控、西安华西、江苏亿金董事长及参股公司上海虹港的董事；,CSRC专用设备制造业,Wind商业和专业服务
300249.SZ,依米康,张菀,个人,张菀女士自2009年8月31日起连任本公司董事、总经理兼法定代表人，公司于2015年8月31日进行董事会换届选举，张菀连任董事，并聘为总经理兼法定代表人，任期为2015年8月31日至2018年8月31日；并担任公司控股公司深圳龙控、西安华西、江苏亿金董事。,CSRC专用设备制造业,Wind商业和专业服务
300250.SZ,初灵信息,洪爱金,个人,"洪爱金先生:董事长,1972年生,硕士.历任杭州娃哈哈食品有限公司销售员,美国国民淀粉化学有限公司区域,省级销售经理,上海玄战电子有限公司执行董事,经理,初灵有限执行董事,总经理.现任公司董事长,总经理,上海玄战电子有限公司执行董事,上海禄森电子有限公司董事长,杭州沃云科技有限公司董事,杭州博科思科技有限公司董事,厚普发展(香港)有限公司董事,北京视达科科技有限公司董事,深圳市博瑞得科技有限公司执行董事.",CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
300251.SZ,光线传媒,王长田,个人,王长田先生，中国国籍，无境外永久居留权，汉族，1965年出生，毕业于上海复旦大学新闻系，本科学士学历。公司于2000年成立以来，担任公司董事长兼总经理。,CSRC广播、电视、电影和影视录音制作业,Wind媒体Ⅱ
300252.SZ,金信诺,黄昌华,个人,"黄昌华先生:董事长,总经理,总工程师,中国国籍,无境外永久居留权,出生于1968年,硕士研究生,先后毕业于华南理工大学化学工程系和清华大学EMBA专业;曾任湖南株洲化学工业集团公司工程师,珠海汉胜科技股份有限公司副总经理及江苏亨通集团海外事业部总经理;2002年至今,任金信诺董事长,总经理,总工程师.黄昌华是广东省青年科学家协会常务理事,曾被聘为2008-2009年度深圳市南山区科技局专家库专家,并先后获得广东省科技进步二等奖,深圳市科技成果奖,指导金信诺获得多项发明专利并参与射频同轴电缆国际标准的制订.",CSRC电气机械及器材制造业,Wind技术硬件与设备
